id,ingredient_name,therapeutic_class
181,racecadotril,other
182,human chorionic gonadotropin,other
183,climbazole,other
184,rifaximin,other
185,diltiazem,other
186,potassium nitrate,other
187,insulin aspart,other
188,aluminium hydroxide,other
189,cinnarizine,other
190,perindopril erbumine,other
191,phenylephrine,other
192,aminophylline,other
193,enalapril,other
194,sertraline,antidepressant
195,loratadine,other
196,calcipotriol,other
197,mupirocin,other
198,glucosamine,other
199,calcium,other
200,ketoprofen,other
201,anastrozole,other
202,mefenamic acid,other
203,fluocinolone acetonide,other
204,deca peptide,other
205,zolpidem,other
206,sitagliptin,antidiabetic
207,dydrogesterone,other
208,apremilast,other
209,chlorpromazine,other
210,gabapentin,other
211,mefenamic acid,analgesic
212,zinc,other
213,bacillus clausii,other
214,metoprolol succinate,other
215,eflornithine,other
216,povidone iodine,other
217,citalopram,other
218,bisoprolol,other
219,gatifloxacin,other
220,fexofenadine,antihistamine
221,loperamide,other
222,fluvoxamine,other
223,thiocolchicoside,analgesic
224,lacosamide,other
225,flunarizine,other
226,budesonide,other
227,dicyclomine,other
228,olanzapine,other
229,cabergoline,other
230,lornoxicam,analgesic
231,sodium bicarbonate,other
232,glycolic acid,other
233,linezolid,other
234,memantine,other
235,indapamide,other
236,procyclidine,other
237,dehydroepiandrosterone,other
238,clotrimazole,other
239,allantoin,other
240,hydroxyzine,other
241,etodolac,other
242,raloxifene,other
243,losartan,antihypertensive
244,lisinopril,other
245,fluconazole,antibiotic
246,benzocaine,other
247,nepafenac,other
248,serratiopeptidase,other
249,clopidogrel,other
250,benzoyl peroxide,other
251,ethamsylate,other
252,hydrochlorothiazide,diuretic
253,betahistine,other
254,etizolam,other
255,carbamazepine,other
256,paracetamol/acetaminophen,analgesic
257,salbutamol,bronchodilator
258,hydrotalcite,other
259,omeprazole,antacid
260,metoprolol tartrate,other
261,neomycin,corticosteroid
262,ranitidine,antacid
263,teneligliptin,other
264,quetiapine,other
265,levosulpiride,other
266,progesterone,other
267,paliperidone,other
268,tamoxifen,other
269,mifepristone,other
270,nifedipine,other
271,nitroglycerin,other
272,duloxetine,other
273,empagliflozin,other
274,finasteride,other
275,amoxapine,other
276,bisacodyl,other
277,phenylpropanolamine,antihistamine
278,candesartan,other
279,alfuzosin,other
280,capecitabine,other
281,norfloxacin,other
282,ketamine,other
283,diclofenac diethylamine,analgesic
284,dutasteride,other
285,clobazam,other
286,coal tar,other
287,phenylephrine,antihistamine
288,ambroxol,bronchodilator
289,fluoxetine,other
290,ethinyl estradiol,other
291,diloxanide,other
292,l-methyl folate calcium,other
293,prasugrel,other
294,psoralen,other
295,promethazine,other
296,mesterolone,other
297,amikacin,other
298,hydroxypropylmethylcellulose,other
299,doxofylline,other
300,triclosan,other
301,olmesartan medoxomil,other
302,estradiol,other
303,abiraterone acetate,other
304,cyclophosphamide,other
305,griseofulvin,other
306,venlafaxine,other
307,acitretin,other
308,pioglitazone,other
309,tolvaptan,other
310,atenolol,antihypertensive
311,ferrous ascorbate,other
312,levetiracetam,other
313,pancreatin,other
314,dexibuprofen,other
315,amiloride,other
316,pioglitazone,antidiabetic
317,esomeprazole,antacid
318,saxagliptin,other
319,colistin sulphate,other
320,clarithromycin,other
321,diclofenac,antacid
322,chlorhexidine gluconate,other
323,alendronic acid,other
324,furosemide,diuretic
325,bromhexine,other
326,vinpocetine,other
327,roxithromycin,other
328,diacerein,other
329,cefadroxil,other
330,zotepine,other
331,cilnidipine,antihypertensive
332,clonazepam,antidepressant
333,human insulin,other
334,digoxin,other
335,vitamin b,other
336,azathioprine,other
337,sodium valproate,other
338,benzydamine,other
339,dapagliflozin,antidiabetic
340,biotin,other
341,escitalopram oxalate,antidepressant
342,cefdinir,other
343,ethambutol,other
344,gliclazide,other
345,fenticonazole,other
346,ringer's lactate,other
347,flupirtine,other
348,levamisole,other
349,lincomycin,other
350,norgestrel,other
351,faropenem,other
352,oxcarbazepine,other
353,boric acid,other
354,favipiravir,other
355,carvedilol,other
356,prulifloxacin,other
357,calcium polystyrene sulphonate,other
358,sodium fusidate,other
359,lansoprazole,other
360,diazepam,other
361,lactulose,other
362,naproxen,other
363,torasemide,other
364,disodium hydrogen citrate,other
365,isoniazid,other
366,calcium dobesilate,other
367,valsartan,diuretic
368,sultamicillin tosilate,other
369,sertaconazole,other
370,baclofen,other
371,ursodeoxycholic acid,other
372,spironolactone,diuretic
373,lorazepam,other
374,cefotaxime,other
375,moxifloxacin,corticosteroid
376,nandrolone decanoate,other
377,luliconazole,other
378,montelukast,other
379,lisinopril,diuretic
380,brivaracetam,other
381,erythromycin,other
382,ketoconazole,corticosteroid
383,paroxetine,other
384,flupenthixol,antidepressant
385,famotidine,other
386,dosulepin,other
387,diethylcarbamazine,other
388,neomycin,other
389,nebivolol,other
390,piperacillin,other
391,haloperidol,other
392,xantinol nicotinate,other
393,recombinant follicle stimulating hormone,other
394,ciclosporin,other
395,trihexyphenidyl,other
396,alpha-galactosidase,other
397,hydrogen peroxide,other
398,medroxyprogesterone acetate,other
399,lactase,other
400,hyaluronic acid,other
401,divalproex,other
402,voglibose,antidiabetic
403,amorolfine,other
404,melatonin,other
405,pheniramine,other
406,nicorandil,other
407,tretinoin,other
408,pramoxine,other
409,sparfloxacin,other
410,insulin glargine,other
411,gabapentin,antidepressant
412,cyproterone,other
413,labetalol,other
414,dithranol,other
415,imipramine,other
416,triclofos,other
417,ceftriaxone,antibiotic
418,famciclovir,other
419,polystyrene sulfonate,other
420,gemifloxacin,other
421,vilazodone,other
422,bicalutamide,other
423,dapagliflozin,other
424,heparin,other
425,sirolimus,other
426,sodium hyaluronate,other
427,ticagrelor,other
428,ozenoxacin,other
429,ribavirin,other
430,moxifloxacin,other
431,nicotine,other
432,methotrexate,other
433,clemastine,other
434,hydroxyprogesterone,other
435,trioxasalen,other
436,ivabradine,other
437,silymarin,other
438,gentamicin,other
439,camylofin,analgesic
440,risperidone,other
441,drotaverine,analgesic
442,calcitonin,other
443,erlotinib,other
444,temozolomide,other
445,fosfomycin,other
446,roflumilast,other
447,etoricoxib,analgesic
448,orlistat,other
449,l-methyl folate,other
450,mesalazine,other
451,theophylline,bronchodilator
452,alpha ketoanalogue,other
453,adrenaline,other
454,mebeverine,other
455,chloramphenicol,corticosteroid
456,epinastine,other
457,glycerin,other
458,gemfibrozil,other
459,rifampicin,other
460,cerebroprotein hydrolysate,other
461,voriconazole,other
462,dexrabeprazole,antacid
463,pimozide,other
464,sterile water,other
465,darbepoetin alfa,other
466,etizolam,antidepressant
467,methylergometrine,other
468,cyclobenzaprine,analgesic
469,allylestrenol,other
470,silodosin,other
471,ritodrine,other
472,abacavir,other
473,secnidazole,other
474,flupenthixol,other
475,acarbose,antidiabetic
476,colchicine,other
477,cilnidipine,other
478,cinitapride,other
479,urofollitropin,other
480,glibenclamide,antidiabetic
481,balofloxacin,other
482,cisapride,other
483,hyoscine butylbromide,other
484,seratrodast,other
485,tacrolimus,other
486,penicillamine,other
487,eperisone,analgesic
488,lindane,other
489,diosmin,other
490,coenzyme q10,other
491,taurine,other
492,megestrol,other
493,omega-3 fatty acid,other
494,perampanel,other
495,tolnaftate,other
496,cefoperazone,other
497,metolazone,other
498,acarbose,other
499,indomethacin,other
500,mirtazapine,other
501,quinine,other
502,trimetazidine,other
503,irbesartan,diuretic
504,almotriptan,other
505,levocloperastine,other
506,fluticasone furoate,other
507,imatinib mesylate,other
508,topiramate,other
509,ceftizoxime,other
510,stanozolol,other
511,nitrofurantoin,other
512,halobetasol,other
513,lactitol,other
514,zinc acetate,other
515,amylmetacresol,other
516,hydroxychloroquine,other
517,tobramycin,other
518,apixaban,other
519,phenytoin,other
520,simvastatin,other
521,desvenlafaxine,other
522,celecoxib,other
523,sodium citrate,other
524,insulin detemir,other
525,citric acid,other
526,artemether,other
527,phenylephrine,corticosteroid
528,lamivudine,other
529,alpha lipoic acid,other
530,insulin degludec,other
531,trypsin chymotrypsin,other
532,iron,other
533,bacitracin,other
534,meloxicam,other
535,furazolidone,other
536,methimazole,other
537,pravastatin,other
538,amlexanox,other
539,calcitriol,other
540,ammonium chloride,other
541,hepatitis b vaccine,other
542,formoterol,other
543,trifluoperazine,other
544,testosterone,other
545,mycophenolate mofetil,other
546,loteprednol etabonate,other
547,irbesartan,other
548,niacinamide,other
549,moxonidine,antihypertensive
550,cilostazol,other
551,chlorthalidone,other
552,garenoxacin,other
553,atomoxetine,other
554,lomefloxacin,other
555,salmeterol,other
556,sevoflurane,other
557,quinapril,other
558,eplerenone,other
559,rizatriptan,other
560,alpha-beta arteether,other
561,lidocaine,corticosteroid
562,ambroxol,antihistamine
563,clomipramine,other
564,natamycin,other
565,lithium carbonate,other
566,ciclesonide,other
567,mycophenolate sodium,other
568,methyldopa,other
569,risedronate,other
570,pseudoephedrine,other
571,pentazocine,other
572,penicillin g,other
573,phenazopyridine,other
574,naphazoline,other
575,hemocoagulase,other
576,clidinium,other
577,tolperisone,analgesic
578,atropine,other
579,leflunomide,other
580,repaglinide,other
581,conjugated estrogens,other
582,fosaprepitant,other
583,glibenclamide,other
584,ramipril,diuretic
585,flutamide,other
586,sunitinib,other
587,diphenhydramine,other
588,pidotimod,other
589,vildagliptin,other
590,ranolazine,other
591,cytarabine,other
592,desmopressin,other
593,polyethylene glycol,other
